index,district,ward,type_of_housing,legal_paper,price
11180,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,71.43
71825,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,101.92
34046,Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,59.38
14286,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,103.13
9662,Thanh Xuân,Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,110.0
46600,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,54.35
47258,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,94.44
81749,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,96.53
30276,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,51.79
32331,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,91.67
7875,Hà Đông,Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,37.19
73140,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,75.81
39470,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,106.98
25585,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,333.33
66780,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,113.51
18365,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,84.55
77066,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,50.0
2766,Đống Đa,Trung Phụng,"Nhà mặt phố, mặt tiền",Đã có sổ,188.89
67063,Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,94.68
28702,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,67.27
28053,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,75.71
35553,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,113.33
16656,Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,89.81
63846,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,91.3
74100,Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,104.29
27739,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,106.67
61801,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,67.78
31136,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,127.78
13570,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,102.5
72205,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,75.0
35348,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,93.27
36681,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,38.89
62800,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,102.65
48880,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,240.0
15451,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,98.3
39199,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,93.44
80153,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,117.78
4083,Bắc Từ Liêm,Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,68.75
57860,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,45.0
30443,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,122.09
16934,Tây Hồ,Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,113.8
44993,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,80.0
29683,Long Biên,Long Biên,Nhà biệt thự,Đã có sổ,162.5
58519,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,77.78
12830,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,55.0
7187,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,78.26
80122,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,133.33
51586,Nam Từ Liêm,Mỹ Đình 2,"Nhà mặt phố, mặt tiền",Đã có sổ,89.47
11561,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,64.29
21161,Hai Bà Trưng,Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,130.0
41692,Hoàng Mai,Lĩnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,93.75
64309,Tây Hồ,Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,95.0
8164,Hoàng Mai,Mai Động,"Nhà mặt phố, mặt tiền",Đã có sổ,66.67
68687,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,62.5
82196,Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,114.63
59961,Nam Từ Liêm,Mễ Trì,Nhà biệt thự,Đã có sổ,282.68
21713,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,88.64
47102,Đống Đa,Văn Chương,"Nhà mặt phố, mặt tiền",Đã có sổ,106.0
