index,district,ward,type_of_housing,legal_paper,price
36354,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,80.0
45474,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,35.29
34624,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,73.75
55651,Đống Đa,Quốc Tử Giám,"Nhà mặt phố, mặt tiền",Đã có sổ,96.3
23185,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,70.0
12148,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,66.9
75512,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,90.0
48962,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,53.66
48135,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,48.33
63097,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,227.27
54856,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,108.75
11337,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,124.19
35529,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,84.38
29935,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,81.67
19126,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,62.5
853,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,110.0
28453,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,125.0
40775,Thanh Xuân,Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,259.62
46997,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,72.22
48362,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,75.34
66054,Đống Đa,Thịnh Quang,"Nhà mặt phố, mặt tiền",Đã có sổ,88.89
60052,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,292.31
65776,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,121.88
18855,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,118.42
6548,Thanh Xuân,Thanh Xuân Bắc,"Nhà mặt phố, mặt tiền",Đã có sổ,156.67
7233,Tây Hồ,Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,56.03
18861,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,78.57
35682,Đống Đa,Hàng Bột,"Nhà mặt phố, mặt tiền",Đã có sổ,100.0
69954,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,125.81
3868,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,86.36
25172,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,68.33
50876,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,97.06
15397,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,98.75
73806,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,67.27
76065,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,102.56
62074,Tây Hồ,Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,250.0
7933,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,78.79
58303,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,104.17
19079,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,64.02
49130,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,80.0
77826,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,63.33
18699,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,80.26
67531,Hà Đông,Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,112.5
61462,Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,345.45
66861,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,100.0
23883,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,72.92
8315,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,93.48
71296,Cầu Giấy,Dịch Vọng Hậu,"Nhà mặt phố, mặt tiền",Đã có sổ,310.0
52295,Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,166.67
5415,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,152.63
63166,Hoàn Kiếm,Cửa Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,533.33
20779,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,58.39
12578,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,62.22
55723,Hoàn Kiếm,Lý Thái Tổ,"Nhà mặt phố, mặt tiền",Đã có sổ,194.29
10132,Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,40.0
81489,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,92.96
5602,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Giấy tờ khác,55.0
61240,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,121.43
64914,Hai Bà Trưng,Đồng Nhân,"Nhà ngõ, hẻm",Đã có sổ,112.5
70451,Đống Đa,Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,250.0
57385,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,108.57
70462,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,78.18
35052,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,58.75
77688,Hà Đông,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,88.89
36702,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,60.0
30769,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,70.0
12750,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,83.33
72269,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,67.06
4487,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,183.33
49128,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,44.83
48088,Hai Bà Trưng,Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,115.15
2250,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,73.33
76123,Thanh Xuân,Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,141.03
5697,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,95.0
38920,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,87.5
16936,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,103.13
74830,Đống Đa,Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,175.0
3971,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,48.68
63995,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,94.12
31412,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,64.5
49377,Đống Đa,Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,130.26
759,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,105.26
18764,Long Biên,Việt Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,98.33
22906,Thanh Xuân,Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,293.33
10367,Cầu Giấy,Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,160.0
3193,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,73.68
70304,Hai Bà Trưng,Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,97.73
63621,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Giấy tờ khác,26.0
32366,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,45.83
44152,Hoàn Kiếm,Phúc Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,275.0
3987,Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,86.54
30568,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,98.65
36032,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,84.62
53967,Hai Bà Trưng,Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,93.94
44166,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,54.35
81873,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,98.44
32873,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,98.08
51647,Cầu Giấy,Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,92.0
50337,Thanh Xuân,Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,140.0
11559,Hà Đông,Phúc La,"Nhà ngõ, hẻm",Đã có sổ,96.05
33097,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,68.11
26741,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,142.0
52365,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Giấy tờ khác,63.64
3896,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,91.18
64599,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,91.67
60452,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,59.02
71215,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,158.14
45245,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,95.0
37047,Hà Đông,Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,127.12
72586,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,46.75
54135,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,91.25
25933,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,180.0
43763,Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,102.0
57344,Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,69.05
9406,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,97.78
52364,Ba Đình,Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,102.27
67525,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,47.46
67572,Đống Đa,Kim Liên,"Nhà mặt phố, mặt tiền",Giấy tờ khác,100.0
71845,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,78.57
73727,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,55.0
44539,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,94.12
58923,Cầu Giấy,Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,130.0
21486,Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,253.85
16942,Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,73.33
2730,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,89.53
41509,Cầu Giấy,Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,225.0
25223,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,112.45
75104,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,108.57
46910,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,245.45
10932,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,134.88
11443,Hai Bà Trưng,Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,157.78
39458,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,75.0
78348,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,117.95
77411,Long Biên,Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,160.0
31655,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,100.0
67499,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,76.09
45508,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,117.95
48116,Cầu Giấy,Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,130.77
73826,Tây Hồ,Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,86.96
40938,Bắc Từ Liêm,Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,90.32
2067,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,65.48
12298,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,107.78
4515,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,74.49
48150,Hai Bà Trưng,Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,120.0
62889,Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,88.33
47959,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,91.43
80337,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,125.0
58818,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,44.33
62366,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,64.81
43820,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,109.09
48548,Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,120.0
66203,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,82.69
25316,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,70.0
58670,Long Biên,Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,58.33
69908,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,109.68
59793,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,159.52
3599,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,84.0
39962,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,64.86
14177,Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,79.76
7349,Hai Bà Trưng,Ngô Thì Nhậm,"Nhà mặt phố, mặt tiền",Đã có sổ,445.45
81178,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,59.0
53441,Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,60.0
32702,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,70.0
3687,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,55.15
53262,Ba Đình,Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,507.69
42212,Ba Đình,Thành Công,"Nhà ngõ, hẻm",Đã có sổ,64.17
61564,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,98.21
44450,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,125.64
81071,Hai Bà Trưng,Quỳnh Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,120.0
28917,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,133.33
40523,Cầu Giấy,Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,180.0
27957,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,63.06
9941,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,61.67
50209,Ba Đình,Đội Cấn,"Nhà mặt phố, mặt tiền",Đã có sổ,270.0
12461,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,76.19
6176,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,45.31
75395,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,119.05
78850,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,64.1
54720,Tây Hồ,Quảng An,"Nhà mặt phố, mặt tiền",Đã có sổ,294.74
19296,Đống Đa,Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,81.4
77814,Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,72.39
17997,Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,103.33
44865,Hai Bà Trưng,Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,262.5
70893,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,100.0
65919,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,110.0
73802,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,113.33
81157,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,158.73
34966,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,80.43
17277,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,58.93
9949,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,92.75
54498,Thanh Xuân,Khương Trung,Nhà phố liền kề,Đã có sổ,79.49
3266,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,86.36
73936,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,78.0
71629,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,84.86
27991,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,83.33
62748,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,120.59
69701,Hoàng Mai,Hoàng Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,64.71
45973,Hai Bà Trưng,Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,83.33
61979,Bắc Từ Liêm,Đông Ngạc,"Nhà mặt phố, mặt tiền",Đã có sổ,36.67
24648,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,71.43
80707,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,57.89
58113,Long Biên,Sài Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,82.43
81311,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,105.0
31983,Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,87.8
39709,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,66.67
36510,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,82.13
58711,Hà Đông,Phúc La,"Nhà ngõ, hẻm",Đã có sổ,73.33
57338,Hai Bà Trưng,Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,90.0
67035,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,59.09
33696,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,118.75
59398,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,121.43
25520,Thanh Xuân,Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,80.0
43572,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,96.15
21579,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,104.0
50959,Hà Đông,Phú La,Nhà biệt thự,Đã có sổ,74.59
77894,Long Biên,Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,71.56
1933,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,98.0
44193,Tây Hồ,Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,78.33
16583,Tây Hồ,Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,75.0
18491,Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,102.76
6053,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,69.7
73317,Ba Đình,Nguyễn Trung Trực,"Nhà mặt phố, mặt tiền",Đã có sổ,493.42
66550,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,92.5
66647,Tây Hồ,Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,188.0
22958,Thanh Xuân,Nhân Chính,Nhà phố liền kề,Đã có sổ,227.5
23959,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,63.51
69842,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,72.73
40028,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,66.67
47422,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,102.94
10100,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,87.1
22925,Hà Đông,Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,125.0
68682,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,100.0
52466,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,78.13
5638,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,70.0
18508,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,112.79
52378,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,142.22
49748,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,70.0
18271,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Giấy tờ khác,53.49
72480,Nam Từ Liêm,Cầu Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,70.83
8931,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,89.13
29555,Ba Đình,Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,152.0
33822,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,101.67
56469,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,57.89
63500,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,95.11
32102,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,82.0
71817,Hoàn Kiếm,Cửa Đông,"Nhà mặt phố, mặt tiền",Đã có sổ,274.42
47771,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,204.76
45088,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,72.37
8765,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,65.71
37765,Hà Đông,Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,133.6
60480,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,54.29
868,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,96.97
70925,Cầu Giấy,Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,98.25
3646,Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,81.03
25545,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,93.1
1117,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,52.63
82420,Hai Bà Trưng,Đống Mác,Nhà phố liền kề,Đã có sổ,169.44
15711,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,94.44
57151,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,65.0
37420,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,80.0
61223,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,156.0
56272,Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,87.3
53955,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,75.61
76822,Hoàng Mai,Yên Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,82.67
54256,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,76.47
14755,Thanh Xuân,Thượng Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,78.0
71832,Ba Đình,Quán Thánh,"Nhà mặt phố, mặt tiền",Đã có sổ,388.24
45053,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,84.44
7314,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,40.0
17925,Đống Đa,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,200.0
396,Bắc Từ Liêm,Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,77.33
34176,Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,68.89
51098,Bắc Từ Liêm,Xuân Đỉnh,"Nhà mặt phố, mặt tiền",Đã có sổ,57.0
7635,Đống Đa,Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,81.08
36675,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,96.15
14275,Cầu Giấy,Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,92.86
55712,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,95.0
18095,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,86.61
75123,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,78.38
26065,Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,83.33
40077,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,159.09
67236,Hà Đông,Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,112.5
52341,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,51.92
28831,Tây Hồ,Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,50.67
59604,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,50.4
16644,Hà Đông,Phúc La,"Nhà ngõ, hẻm",Đã có sổ,81.82
3230,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,82.81
18692,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,100.0
78545,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,89.6
6776,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,88.57
64966,Hà Đông,Dương Nội,Nhà biệt thự,Đã có sổ,60.0
72813,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,70.0
9376,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,111.11
